titulo,año,duracion,pais,director,generos,valoracion_media,num_votos,tipo,url,fecha_extraccion,categoria_extraccion,genero_Serie de TV,genero_Thriller,genero_Animación,genero_Intriga,genero_Aventuras,genero_Acción,genero_Romance,genero_Documental,genero_Western,genero_Bélico,genero_Infantil,genero_Drama,genero_Musical,genero_Fantástico,genero_Comedia,genero_Ciencia ficción,genero_Terror,decada
El padrino,1972,175,No disponible,No disponible,['Drama'],9.0,177087,Película,https://www.filmaffinity.com/es/film809297.html,2025-04-07,Top España,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1970
Planeta Tierra II,2016,50,No disponible,No disponible,"['Serie de TV', 'Documental']",8.9,4583,Película,https://www.filmaffinity.com/es/film107937.html,2025-04-07,Top España,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010
El padrino. Parte II,1974,200,No disponible,No disponible,['Drama'],8.9,141483,Película,https://www.filmaffinity.com/es/film730528.html,2025-04-07,Top España,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1970
The Wire (Bajo escucha),2002,60,No disponible,No disponible,"['Serie de TV', 'Thriller', 'Drama']",8.8,50468,Película,https://www.filmaffinity.com/es/film399474.html,2025-04-07,Top España,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000
Breaking Bad,2008,45,No disponible,No disponible,"['Serie de TV', 'Thriller', 'Drama']",8.8,105979,Película,https://www.filmaffinity.com/es/film489970.html,2025-04-07,Top España,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000
Cosmos,1980,60,No disponible,No disponible,"['Serie de TV', 'Documental']",8.8,13539,Película,https://www.filmaffinity.com/es/film601451.html,2025-04-07,Top España,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1980
Planeta azul II,2017,60,No disponible,No disponible,"['Serie de TV', 'Documental']",8.7,1868,Película,https://www.filmaffinity.com/es/film518489.html,2025-04-07,Top España,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010
Doce hombres sin piedad,1957,95,No disponible,No disponible,"['Intriga', 'Drama']",8.7,73358,Película,https://www.filmaffinity.com/es/film695552.html,2025-04-07,Top España,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1950
Cosmos: A Space-Time Odyssey,2014,60,No disponible,No disponible,"['Serie de TV', 'Documental']",8.6,10897,Película,https://www.filmaffinity.com/es/film661074.html,2025-04-07,Top España,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010
La lista de Schindler,1993,195,No disponible,No disponible,['Drama'],8.6,177323,Película,https://www.filmaffinity.com/es/film656153.html,2025-04-07,Top España,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1990
Testigo de cargo,1957,114,No disponible,No disponible,"['Intriga', 'Drama']",8.6,46431,Película,https://www.filmaffinity.com/es/film667376.html,2025-04-07,Top España,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1950
Cadena perpetua,1994,142,No disponible,No disponible,['Drama'],8.6,171930,Película,https://www.filmaffinity.com/es/film161026.html,2025-04-07,Top España,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1990
Apocalipsis: La Segunda Guerra Mundial,2009,320,No disponible,No disponible,"['Serie de TV', 'Documental', 'Bélico']",8.6,14802,Película,https://www.filmaffinity.com/es/film221477.html,2025-04-07,Top España,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2000
Luces de la ciudad,1931,81,No disponible,No disponible,"['Comedia', 'Romance']",8.6,33753,Película,https://www.filmaffinity.com/es/film750301.html,2025-04-07,Top España,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1930
Los Simpson,1989,22,No disponible,No disponible,"['Serie de TV', 'Animación', 'Comedia']",8.6,172956,Película,https://www.filmaffinity.com/es/film372160.html,2025-04-07,Top España,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1980
Adolescencia,2025,228,No disponible,No disponible,"['Serie de TV', 'Drama', 'Thriller']",7.7,16264,Película,https://www.filmaffinity.com/es/film541444.html,2025-04-07,Las más votadas,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
Emilia Pérez,2024,132,No disponible,No disponible,"['Thriller', 'Musical', 'Drama']",5.9,11943,Película,https://www.filmaffinity.com/es/film671326.html,2025-04-07,Las más votadas,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020
Sisu,2022,86,No disponible,No disponible,"['Bélico', 'Western', 'Aventuras', 'Acción']",6.3,8382,Película,https://www.filmaffinity.com/es/film872693.html,2025-04-07,Las más votadas,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2020
Heretic (Hereje),2024,110,No disponible,No disponible,"['Terror', 'Thriller']",6.4,7119,Película,https://www.filmaffinity.com/es/film744837.html,2025-04-07,Las más votadas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
Una película de Minecraft,2025,100,No disponible,No disponible,"['Fantástico', 'Aventuras', 'Comedia']",4.8,702,Película,https://www.filmaffinity.com/es/film979252.html,2025-04-07,Las más votadas,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2020
Mickey 17,2025,137,No disponible,No disponible,"['Ciencia ficción', 'Comedia', 'Thriller', 'Fantástico', 'Aventuras']",6.2,5753,Película,https://www.filmaffinity.com/es/film466389.html,2025-04-07,Las más votadas,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2020
Escape,2024,129,No disponible,No disponible,"['Comedia', 'Thriller']",5.8,4857,Película,https://www.filmaffinity.com/es/film655074.html,2025-04-07,Las más votadas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020
Holland,2025,108,No disponible,No disponible,"['Thriller', 'Intriga']",4.4,948,Película,https://www.filmaffinity.com/es/film212115.html,2025-04-07,Las más votadas,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Cuando cae el otoño,2024,102,No disponible,No disponible,"['Drama', 'Intriga']",6.7,1548,Película,https://www.filmaffinity.com/es/film580571.html,2025-04-07,Las más votadas,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
Mufasa: El rey león,2024,110,No disponible,No disponible,"['Animación', 'Aventuras', 'Drama', 'Comedia']",6.2,5109,Película,https://www.filmaffinity.com/es/film285949.html,2025-04-07,Las más votadas,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2020
Amanece en Samaná,2024,99,No disponible,No disponible,['Comedia'],4.7,638,Película,https://www.filmaffinity.com/es/film190797.html,2025-04-07,Las más votadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020
Anora,2024,138,No disponible,No disponible,"['Drama', 'Comedia']",7.0,16685,Película,https://www.filmaffinity.com/es/film429924.html,2025-04-07,Las más votadas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020
La infiltrada,2024,118,No disponible,No disponible,"['Thriller', 'Drama']",7.0,20626,Película,https://www.filmaffinity.com/es/film932478.html,2025-04-07,Las más votadas,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
A Complete Unknown,2024,141,No disponible,No disponible,['Drama'],6.9,6641,Película,https://www.filmaffinity.com/es/film966380.html,2025-04-07,Las más votadas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020
Black Phone,2021,102,No disponible,No disponible,"['Terror', 'Thriller', 'Fantástico']",6.2,14275,Película,https://www.filmaffinity.com/es/film386166.html,2025-04-07,Las más votadas,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
Dune: Parte Dos,2024,166,No disponible,No disponible,"['Ciencia ficción', 'Aventuras', 'Acción', 'Drama']",7.7,34280,Película,https://www.filmaffinity.com/es/film180929.html,2025-04-07,Acción 2024,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2020
Transformers One,2024,103,No disponible,No disponible,"['Animación', 'Acción', 'Aventuras', 'Ciencia ficción']",6.9,1690,Película,https://www.filmaffinity.com/es/film329799.html,2025-04-07,Acción 2024,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2020
Furiosa: De la saga Mad Max,2024,138,No disponible,No disponible,"['Ciencia ficción', 'Acción']",6.7,20343,Película,https://www.filmaffinity.com/es/film501691.html,2025-04-07,Acción 2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020
Deadpool y Lobezno,2024,127,No disponible,No disponible,"['Acción', 'Fantástico', 'Comedia', 'Ciencia ficción']",6.7,22099,Película,https://www.filmaffinity.com/es/film202500.html,2025-04-07,Acción 2024,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2020
Civil War,2024,109,No disponible,No disponible,"['Acción', 'Bélico', 'Drama', 'Thriller']",6.6,20718,Película,https://www.filmaffinity.com/es/film975245.html,2025-04-07,Acción 2024,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2020
La ciudad de los guerreros,2024,125,No disponible,No disponible,"['Acción', 'Thriller']",6.4,580,Película,https://www.filmaffinity.com/es/film322201.html,2025-04-07,Acción 2024,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020
Alien: Romulus,2024,119,No disponible,No disponible,"['Ciencia ficción', 'Acción', 'Terror']",6.4,18934,Película,https://www.filmaffinity.com/es/film621967.html,2025-04-07,Acción 2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2020
Monkey Man,2024,120,No disponible,No disponible,"['Acción', 'Thriller']",6.1,6958,Película,https://www.filmaffinity.com/es/film631601.html,2025-04-07,Acción 2024,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020
El señor de los anillos: La guerra de los Rohirrim,2024,130,No disponible,No disponible,"['Animación', 'Fantástico', 'Aventuras', 'Acción']",6.0,3955,Película,https://www.filmaffinity.com/es/film984017.html,2025-04-07,Acción 2024,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2020
Sonic 3: La película,2024,110,No disponible,No disponible,"['Aventuras', 'Fantástico', 'Comedia', 'Acción']",6.0,2578,Película,https://www.filmaffinity.com/es/film496838.html,2025-04-07,Acción 2024,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2020
Robot salvaje,2024,98,No disponible,No disponible,"['Animación', 'Ciencia ficción', 'Aventuras', 'Drama']",7.6,12184,Película,https://www.filmaffinity.com/es/film605382.html,2025-04-07,Ciencia Ficción 2024,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2020
La sustancia,2024,140,No disponible,No disponible,"['Terror', 'Thriller', 'Ciencia ficción']",6.5,32379,Película,https://www.filmaffinity.com/es/film833687.html,2025-04-07,Ciencia Ficción 2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020
El reino del planeta de los simios,2024,135,No disponible,No disponible,"['Ciencia ficción', 'Aventuras']",6.1,11070,Película,https://www.filmaffinity.com/es/film139117.html,2025-04-07,Ciencia Ficción 2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020
Lo que hay dentro,2024,103,No disponible,No disponible,"['Intriga', 'Thriller', 'Ciencia ficción']",5.8,3671,Película,https://www.filmaffinity.com/es/film148922.html,2025-04-07,Ciencia Ficción 2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020
Rebel Moon (Capítulo uno): El cáliz de sangre,2024,200,No disponible,No disponible,"['Ciencia ficción', 'Acción']",5.6,702,Película,https://www.filmaffinity.com/es/film427446.html,2025-04-07,Ciencia Ficción 2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020
Nosferatu,2024,132,No disponible,No disponible,['Terror'],6.8,16969,Película,https://www.filmaffinity.com/es/film779702.html,2025-04-07,Terror 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
Strange Darling,2024,96,No disponible,No disponible,"['Thriller', 'Terror']",6.6,2151,Película,https://www.filmaffinity.com/es/film377182.html,2025-04-07,Terror 2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
No hables con extraños,2024,109,No disponible,No disponible,"['Intriga', 'Terror', 'Thriller']",6.4,7561,Película,https://www.filmaffinity.com/es/film928692.html,2025-04-07,Terror 2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
El baño del diablo,2024,120,No disponible,No disponible,"['Drama', 'Terror']",6.3,2986,Película,https://www.filmaffinity.com/es/film394035.html,2025-04-07,Terror 2024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2020
Pedro Páramo,2024,123,No disponible,No disponible,"['Drama', 'Fantástico', 'Terror']",6.2,769,Película,https://www.filmaffinity.com/es/film451119.html,2025-04-07,Terror 2024,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2020
MadS,2024,95,No disponible,No disponible,['Terror'],6.1,745,Película,https://www.filmaffinity.com/es/film905083.html,2025-04-07,Terror 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
Exhuma,2024,134,No disponible,No disponible,"['Thriller', 'Terror', 'Intriga']",6.0,1803,Película,https://www.filmaffinity.com/es/film532415.html,2025-04-07,Terror 2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
La joven y el mar,2024,100,No disponible,No disponible,"['Drama', 'Romance']",6.9,2203,Película,https://www.filmaffinity.com/es/film174346.html,2025-04-07,Romance 2024,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020
