titulo,año,duracion,generos,valoracion_media,num_votos,tipo,url,fecha_extraccion,categoria_extraccion,genero_Serie de TV,genero_Thriller,genero_Animación,genero_Intriga,genero_Aventuras,genero_Acción,genero_Romance,genero_Documental,genero_Western,genero_Bélico,genero_Infantil,genero_Drama,genero_Musical,genero_Fantástico,genero_Comedia,genero_Ciencia ficción,genero_Terror,decada,generos_list,popularidad,epoca,duracion_cat
El padrino,1972,175,['Drama'],9.0,177087,Película,https://www.filmaffinity.com/es/film809297.html,2025-04-07,Top España,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1970,['Drama'],Muy Alta,Clásico,Largo
Planeta Tierra II,2016,50,"['Serie de TV', 'Documental']",8.9,4583,Serie,https://www.filmaffinity.com/es/film107937.html,2025-04-07,Top España,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,"['Serie de TV', 'Documental']",Media,Actual,Corto
El padrino. Parte II,1974,200,['Drama'],8.9,141483,Película,https://www.filmaffinity.com/es/film730528.html,2025-04-07,Top España,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1970,['Drama'],Muy Alta,Clásico,Muy Largo
The Wire (Bajo escucha),2002,60,"['Serie de TV', 'Thriller', 'Drama']",8.8,50468,Serie,https://www.filmaffinity.com/es/film399474.html,2025-04-07,Top España,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000,"['Serie de TV', 'Thriller', 'Drama']",Muy Alta,Contemporáneo,Corto
Breaking Bad,2008,45,"['Serie de TV', 'Thriller', 'Drama']",8.8,105979,Serie,https://www.filmaffinity.com/es/film489970.html,2025-04-07,Top España,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2000,"['Serie de TV', 'Thriller', 'Drama']",Muy Alta,Contemporáneo,Corto
Cosmos,1980,60,"['Serie de TV', 'Documental']",8.8,13539,Serie,https://www.filmaffinity.com/es/film601451.html,2025-04-07,Top España,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1980,"['Serie de TV', 'Documental']",Alta,Clásico,Corto
Planeta azul II,2017,60,"['Serie de TV', 'Documental']",8.7,1868,Serie,https://www.filmaffinity.com/es/film518489.html,2025-04-07,Top España,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,"['Serie de TV', 'Documental']",Media,Actual,Corto
Doce hombres sin piedad,1957,95,"['Intriga', 'Drama']",8.7,73358,Película,https://www.filmaffinity.com/es/film695552.html,2025-04-07,Top España,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1950,"['Intriga', 'Drama']",Muy Alta,Clásico,Normal
Cosmos: A Space-Time Odyssey,2014,60,"['Serie de TV', 'Documental']",8.6,10897,Serie,https://www.filmaffinity.com/es/film661074.html,2025-04-07,Top España,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,"['Serie de TV', 'Documental']",Alta,Actual,Corto
La lista de Schindler,1993,195,['Drama'],8.6,177323,Película,https://www.filmaffinity.com/es/film656153.html,2025-04-07,Top España,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1990,['Drama'],Muy Alta,Moderno,Muy Largo
